Issue Type,Summary,Description,Epic Link,Priority,Labels
Epic,"Процесс и Jira","Процесс и Jira",,Medium,tz-04-08
Epic,"Сайт и страницы модулей","Сайт и страницы модулей",,Medium,tz-04-08
Epic,"Подписки, токены, цены","Подписки, токены, цены",,Medium,tz-04-08
Epic,"Пользователи и субпользователи","Пользователи и субпользователи",,Medium,tz-04-08
Epic,"Админ-панель","Админ-панель",,Medium,tz-04-08
Epic,"Парсер и база каналов","Парсер и база каналов",,Medium,tz-04-08
Epic,"Логи, статистика, безопасность","Логи, статистика, безопасность",,Medium,tz-04-08
Epic,"Поддержка и Help Center","Поддержка и Help Center",,Medium,tz-04-08
Epic,"Обучение и документация","Обучение и документация",,Medium,tz-04-08
Epic,"Пользовательская панель и навигация","Пользовательская панель и навигация",,Medium,tz-04-08
Epic,"Интерфейс запуска модуля","Интерфейс запуска модуля",,Medium,tz-04-08
Epic,"Папки, цели, чёрный список","Папки, цели, чёрный список",,Medium,tz-04-08
Epic,"Распределение процентов","Распределение процентов",,Medium,tz-04-08
Epic,"Аккаунты и прокси","Аккаунты и прокси",,Medium,tz-04-08
Epic,"Подготовка к запуску","Подготовка к запуску",,Medium,tz-04-08
Epic,"Профили: финал переезда","Профили: финал переезда",,Medium,tz-04-08
Task,"Страница модуля: одноколоночная вёрстка на всю ширину","Перевести страницу модуля в одноколоночную структуру на всю ширину; «Как это работает» и «Возможности модуля» — в одной строке двумя колонками, остальные блоки на всю ширину. §2.1","Сайт и страницы модулей",High,"tz-04-08 landing ui"
Task,"Унифицировать блок оплаты на всех страницах модулей","Единый дизайн блока оплаты; на короткой странице — 2 блока (начало/конец), на длинной — 3 (начало/середина/конец). §2.1","Сайт и страницы модулей",Medium,"tz-04-08 landing billing"
Task,"Состояние блока оплаты: апгрейд для подписчика","Для гостя/без подписки — оплата; для залогиненного с активной подпиской — предложение апгрейда (больший срок / расширенный пакет / больше токенов). §2.2","Сайт и страницы модулей",High,"tz-04-08 landing billing"
Task,"Подарочные токены: поле на модуль/тариф + суммирование","Отдельное поле количества подарочных токенов для каждого модуля и тарифа; при покупке нескольких модулей — суммировать; управление из админ-панели. §3.1","Подписки, токены, цены",High,"tz-04-08 billing admin"
Task,"Калькулятор тарифа: себестоимость токенов и число действий","Рядом с подарочными токенами показывать их себестоимость в деньгах и число доступных действий по модулю (по стоимости одного действия). §3.2","Подписки, токены, цены",Medium,"tz-04-08 billing admin"
Task,"Экономика: доходы, расходы, маржа","Расчёт доходов (планы+токены+пополнения), расходов (по факту действий и внутренней стоимости) и маржи; пересчёт цен в реальном времени по факт-статистике; разрез по серверам (ресурсы на кол-во аккаунтов). §3.3","Подписки, токены, цены",High,"tz-04-08 admin analytics"
Task,"Источник покупки: external платёжка vs внутренний кошелёк","В истории покупок различать внешнее пополнение через платёжку и покупку с внутреннего кошелька — колонка Source или цвет. Остаток после операции не показывать, если не нужен. §3.4","Подписки, токены, цены",Medium,"tz-04-08 admin billing"
Task,"Карточка пользователя: инфо одной колонкой + выравнивание","Переверстать данные пользователя в одну колонку, выровнять текст. §4","Пользователи и субпользователи",Medium,"tz-04-08 admin ui"
Task,"Переименовать «Пополнить кошелёк» → «Пополнить токены»","Там, где начисляются именно токены — переименовать действие. §4","Пользователи и субпользователи",Low,"tz-04-08 ui billing"
Task,"Поиск пользователей по ID","Добавить поиск по ID (имя/email уже есть). §4","Пользователи и субпользователи",Low,"tz-04-08 admin"
Task,"Связь owner: доступ субов только к оплаченным владельцем модулям","В профиле суба хранить owner→ID владельца; субпользователь получает доступ только к модулям, оплаченным владельцем; синхронизация статусов владельца и субов правилами БД. §4.1","Пользователи и субпользователи",High,"tz-04-08 rbac db"
Task,"Роли субпользователей — в пользовательскую панель владельца","Перенести назначение внутренних ролей/прав субов из общей админки в user-панель владельца; в админке оставить только доступы клиента к оплаченным модулям. §4.1/§5.3","Пользователи и субпользователи",High,"tz-04-08 rbac ui"
Task,"Баланс суба: общий владельца или индивидуальный лимит","При добавлении суба — выбор: общий баланс владельца ИЛИ индивидуальный лимит токенов; рядом калькулятор доступных действий. §4.2","Пользователи и субпользователи",Medium,"tz-04-08 billing rbac"
Task,"Статистика: отмена прошлого запроса + loading при смене периода","При переключении периода отменять предыдущий API-запрос; не показывать данные прошлого периода под новым; во время загрузки очищать область и показывать явный статус загрузки. §5.1","Админ-панель",High,"tz-04-08 admin perf"
